n,word,ipa,pos,gloss,etym
74,aktiva,/akˈtʰi.va/,形容词,积极的，活跃的。,源自拉丁语「activus」
75,aktivali,/ak.tiˈva.li/,副词,主动地，积极地。,源自拉丁语「activus」+ -li（副词化）
76,akto,/ˈak.tʰo/,名词,行动，活动。,源自拉丁语「actus」
77,aktor,/ˈakʰtʰoɹ/,名词,演员。,源自拉丁语「actor」。
78,aktus,/ˈakʰ.tʰus/,名词,行为，举动。,源自拉丁语「actus」
79,akuæduktus,/akʰuæˈdukʰtʰus/,名词,水渠。,源自拉丁语「aquaeductus」。
80,ækualitas,/ækʰuaˈlitʰas/,名词,平等。,源自拉丁语「aequalitas」。
81,ækuilibrium,/ækʰuiliˈbrium/,名词,平衡。,源自拉丁语「aequilibrium」。
82,ækuitas,/ækʰuˈitʰas/,名词,公正。,源自拉丁语「aequitas」。
83,akuzatio,/a.kuˈza.ti.o/,名词,指控，控告。,源自拉丁语「accusatio」
84,akvo,/ˈakʰ.vo/,名词,水。,源自拉丁语「aqua」。
85,aler,/ˈaləɹ/,动词,饲养。,源自拉丁语「alere」。
86,alerabela,/aləʁaˈbela/,形容词,可饲养的。,「aler」+ 后缀 -bela（可被……的）。
87,aleritá,/aləˈʁitʰaː/,形容词,被饲养的。,「aler」+ 后缀 -itá（结果状态）。
88,algebra,/aˈlɡebra/,名词,代数。,源自希腊语「ἄλγεβρα」(algebra)。
89,almenu,/al.ˈme.nu/,副词,至少。,造词。
90,alport,/al.ˈpoɹtʰ/,动词,带来。,借世界语 alporti。
91,alta,/ˈal.tʰa/,形容词,高的。,借拉丁 altus。
92,altamaró,/al.ˈtʰa.ma.ʁoː/,名词,公海。,"""alta""（高）+ ""maró""（海）。"
93,altaskola,/altʰaˈskʰola/,名词,高中。,「alta」+「skola」。
94,alva,/ˈal.va/,名词,意义，价值。,原生词根。
95,alven,/al.ˈven/,动词,到达。,借世界语 alveni。
96,am,/ˈam/,动词,爱（深爱）。,"原生词根（""amanto"" 词根）；与「làng」（喜欢）相区别。"
97,amanto,/aˈman.tʰo/,名词,爱人，恋人。,"""am""（爱）+ ""-anto""（施动者后缀）；源自拉丁语 ""amare""。"
98,amavent,/aˈma.vəntʰ/,名词,穿堂而过的暖风，带来远处某地气息的风。,ama（远方）+ vent（风）。
99,ambasadeur,/ambasaˈdeuɹ/,名词,大使。,源自法语「ambassadeur」。
100,ambau,/ˈam.bau/,数词,两者（都）。,造词。
101,ambular,/aˈmbulaɹ/,动词,行走。,源自拉丁语「ambulare」。
102,ambularabela,/ambulaʁaˈbela/,形容词,可行走的。,「ambular」+ 后缀 -bela（可被……的）。
103,ambularitá,/ambulaˈʁitʰaː/,形容词,被行走的。,「ambular」+ 后缀 -itá（结果状态）。
104,amdi,/ˈamdi/,名词,播种季。,原生词根。
105,amdisíng,/aˈmdisiːŋɡ/,名词,播种时节泥土与种子混合的气味。,amdi（播种季）+ síng（气味）。
106,amerikano,/a.meˈʁi.ka.no/,名词,美国人。,源自「Amerika」（美洲/美国）+ 人称 -ano
107,åmí,/ˈɔː.miː/,名词,爱。,原生情感词（长元音 /ɔː/）。
108,amien,/aˈmi.ən/,动词,去爱，付出爱。,"""åmí"" + 动词化后缀 ""-en""。"
109,amienabela,/amiənaˈbela/,形容词,可去爱的。,「amien」+ 后缀 -bela（可被……的）。
110,amienitá,/amiəˈnitʰaː/,形容词,被去爱的。,「amien」+ 后缀 -itá（结果状态）。
111,amikoelf,/a.mi.kʰoˈelf/,名词,朋友间不必说破、彼此心照的体谅。,amiko（友）+ elf（体谅）。
112,amlápas,/aˈmlaːpas/,名词,瘟疫。,原生词根。
113,amo,/ˈamo/,名词,爱情。,源自世界语「amo」。
114,ampoliar,/ampoˈliaɹ/,动词,扩大。,源自拉丁语「ampliare」。
115,ampoliarabela,/ampoliaʁaˈbela/,形容词,可扩大的。,「ampoliar」+ 后缀 -bela（可被……的）。
116,ampoliaritá,/ampoliaˈʁitʰaː/,形容词,被扩大的。,「ampoliar」+ 后缀 -itá（结果状态）。
117,amra,/ˈamra/,名词,芒果。,源自梵语「आम्र」(amra)。
118,an,/an/,名词,年。,原生词根。
119,ana,/ˈana/,名词,皮毛。,原生词根。
120,analis,/aˈna.lis/,动词,分析。,源自拉丁语「analysis」（希腊语「ἀνάλυσις」）
121,ananko,/aˈnaŋkʰo/,名词,必然。,源自希腊语「ἀνάγκη」(ananke)。
122,anatman,/aˈnatʰman/,名词,无我。,源自梵语「अनात्मन्」(anatman)。
123,anbak,/ˈanbakʰ/,名词,磨盘。,原生词根。
124,ãnbí,/ˈɐ̃nbiː/,名词,誓约。,原生词根。
125,anĉor,/ˈantʃoɹ/,名词,锚。,源自日耳曼语「anchor」。
126,andar,/anˈdaɹ/,动词,去。,"西班牙语 ""andar""。"
127,andarabela,/andaʁaˈbela/,形容词,可去的。,「andar」+ 后缀 -bela（可被……的）。
128,andaritá,/andaˈʁitʰaː/,形容词,被去的。,「andar」+ 后缀 -itá（结果状态）。
129,angulus,/aˈŋɡulus/,名词,角度。,源自拉丁语「angulus」。
130,anihilaçión,/ani.hi.laˈsi.oːn/,名词,消灭。,"拉丁语 ""annihilatio""。"
131,animal,/a.niˈmal/,名词,动物。,"拉丁语 ""animal""。"
132,animó,/ˈa.ni.moː/,名词,灵魂。,原生词根。
133,anisi,/aˈnisi/,形容词,悬殊的。,源自希腊语「ἄνισος」(anisos)。
134,ænisi,/æˈnisi/,动词,打嗝。,原生词根。
135,anitia,/aniˈtʰia/,名词,无常。,源自梵语「अनित्य」(anitya)。
136,ankau,/an.ˈkʰau/,副词,也。,源自世界语「ankaŭ」，音系调整（同 ankorau）。
137,ankorau,/anˈkʰo.ʁau/,副词,仍然，还。,"世界语 ""ankoraʌ""。"
138,anstatu,/an.ˈstʰa.tʰu/,介词,代替。,造词。
139,-ant-,/antʰ/,中缀,现在分词（正在……的）。,penter（画）→ pentanta。
140,antagonisto,/antʰaɡoˈnistʰo/,名词,反派。,源自法语「antagoniste」。
141,æntæot,/æˈntʰæotʰ/,名词,白桦。,原生词根。
142,ante,/ˈantʰə/,副词,之前。,源自拉丁语「ante」。
143,antepagina,/an.tʰeˈpa.ɡi.na/,名词,扉页，前页。,ante（前）+ pagina（页）
144,antibiotik,/antʰibiˈotʰikʰ/,名词,抗生素。,源自英语「antibiotic」。
145,anto,/ˈantʰo/,名词,蚁。,源自日耳曼语「ant」。
146,antolia,/antʰoˈlia/,名词,船舱。,源自希腊语「ἀντλία」(antlia)。
147,antra,/ˈan.tʰra/,名词,洞穴，深处。,"拉丁语 ""antrum""。"
148,anuntio,/aˈnun.tʰi.o/,名词,公告，通告。,源自拉丁语「annuntiatio」
149,aotoi,/aoˈtʰoi/,名词,斗笠蓑衣。,源自越南语「ao toi」。
150,apar,/ˈapaɹ/,名词,项链。,原生词根。
151,ape,/ˈapə/,名词,锯子。,原生词根。
152,apeiri,/apəˈiʁi/,形容词,无限的。,源自希腊语「ἄπειρος」(apeiros)。
153,apelatio,/apəlaˈtʰio/,名词,上诉。,源自拉丁语「appellatio」。
154,apendikso,/apəˈndikʰso/,名词,附录。,源自拉丁语「appendix」。
155,aperar,/a.pəˈʁaɹ/,动词,出现。,"拉丁语 ""apparere"" + ""-ar""。"
156,aperarabela,/apəʁaʁaˈbela/,形容词,可出现的。,「aperar」+ 后缀 -bela（可被……的）。
157,aperaritá,/apəʁaˈʁitʰaː/,形容词,被出现的。,「aperar」+ 后缀 -itá（结果状态）。
158,aperi,/a.ˈpe.ʁi/,动词,出现。,借世界语 aperi。
159,aplaudo,/aˈplau.do/,名词,掌声。,源自拉丁语「plausus」。
160,apogar,/ˈa.po.gaɹ/,动词,支撑，倚靠。,源自法语「appuyer」
161,apotek,/aˈpotʰəkʰ/,名词,药房。,源自德语「Apotheke」。
162,åpsi,/ˈɔːpsi/,名词,烽火。,原生词根。
163,apud,/ˈa.pud/,介词,在...旁边。,"第二版新增，源自拉丁语 ""apud""。"
164,æra,/ˈæʁa/,名词,纪元。,源自拉丁语「aera」。
165,ǽral,/ˈæːʁal/,动词,凝视。,原生词根。
166,ǽralo,/ˈæː.ʁal.o/,名词,目光，注视。,原生词根「ǽral」（凝视）加名词化 -o
167,aranjar,/aˈran.dʒaɹ/,动词,安排，料理。,源自法语「arranger」
168,arat,/ˈaʁatʰ/,名词,罗汉。,源自梵语「अर्हत्」(arhat)。
169,arbitrára,/aɹ.biˈtʰraː.ʁa/,形容词,任意的，专制的。,原生词根。
170,arbitráren,/aɹbiˈtʰraːʁən/,动词,变成任意。,「arbitrára」+ 后缀 -en（变成）。
171,arbitrárguvernó,/aɹ.bi.ˈtʰraːɹ.ɡu.veɹ.noː/,名词,专制政府。,"""arbitrár""（任意）+ ""guvernó""（政府）。"
172,arbitrárji,/aɹbiˈtʰraːɹd͡ʒi/,动词,使任意。,「arbitrára」+ 后缀 -ji（使动）。
173,arbitrárli,/aɹbiˈtʰraːɹli/,副词,任意地。,「arbitrára」+ 后缀 -li（副词化）。
174,arbo,/ˈaɹbo/,名词,树。,源自拉丁语「arbor」。
175,arena,/aˈʁena/,名词,竞技场。,源自拉丁语「arena」。
176,areser,/aˈʁesəɹ/,动词,枯萎。,源自拉丁语「arescere」。
177,areserabela,/aʁəsəʁaˈbela/,形容词,可枯萎的。,「areser」+ 后缀 -bela（可被……的）。
178,areseritá,/aʁəsəˈʁitʰaː/,形容词,被枯萎的。,「areser」+ 后缀 -itá（结果状态）。
179,arĝenta,/aɹˈd͡ʒen.tʰa/,形容词,银色的。,源自拉丁语「argentum」
180,argumentar,/aɹ.guˈmen.tʰaɹ/,动词,论证，引证。,源自拉丁语「argumentari」
181,argumentum,/aɹɡuˈmentʰum/,名词,证据。,源自拉丁语「argumentum」。
182,arhu,/ˈaɹhu/,名词,松树。,原生词根。
183,aria,/aˈʁia/,名词,咏叹调。,源自意大利语「aria」。
184,aristokratia,/aʁistʰokʰraˈtʰia/,名词,贵族制。,源自希腊语「ἀριστοκρατία」(aristokratia)。
185,aritmetika,/aʁitʰməˈtʰikʰa/,名词,算术。,源自拉丁语「arithmetica」。
186,ariva,/aɹˈʁi.va/,动词,到达。,"第二版拼写调整（原第一版 ""arriva""）。"
187,arivabela,/aʁivaˈbela/,形容词,可到达的。,「ariva」+ 后缀 -bela（可被……的）。
188,arivaitá,/aʁivaˈitʰaː/,形容词,被到达的。,「ariva」+ 后缀 -itá（结果状态）。
189,arkai,/aˈɹkʰai/,形容词,古老的。,源自希腊语「ἀρχαῖος」(archaios)。
190,arkitektura,/aɹkʰitʰəˈkʰtʰuʁa/,名词,建筑。,源自拉丁语「architectura」。
191,arkivum,/aˈɹkʰivum/,名词,档案。,源自拉丁语「archivum」。
192,arkus,/ˈaɹkʰus/,名词,拱门。,源自拉丁语「arcus」。
193,arma,/ˈaɹma/,名词,武器。,源自拉丁语「arma」。
194,armoir,/aˈɹmoiɹ/,名词,衣柜。,源自法语「armoire」。
195,arna,/ˈaɹ.na/,形容词,坚固的，牢靠的。,原生词根。
196,arnaji,/aˈɹnad͡ʒi/,动词,使坚固。,「arna」+ 后缀 -ji（使动）。
197,arnali,/aˈɹnali/,副词,坚固地。,「arna」+ 后缀 -li（副词化）。
198,arnen,/ˈaɹnən/,动词,变成坚固。,「arna」+ 后缀 -en（变成）。
199,arø,/ˈaʁø/,名词,股份。,源自英语「share」。
200,æroporto,/æʁoˈpoɹtʰo/,名词,机场。,源自法语「aéroport」。
201,arpegĝio,/aɹpəˈɡd͡ʒio/,名词,琶音。,源自意大利语「arpeggio」。
202,arso,/ˈaɹso/,名词,艺术。,源自拉丁语「ars」。
203,arsohipielago,/aɹsohipiəˈlaɡo/,名词,群岛。,源自西班牙语「archipiélago」。
204,arsohitekto,/aɹsohiˈtʰekʰtʰo/,名词,建筑师。,源自法语「architecte」。
205,arsomedika,/aɹsoməˈdikʰa/,名词,医术。,源自拉丁语「ars medica」。
206,asana,/aˈsana/,名词,坐姿。,源自梵语「आसन」(asana)。
207,asbu,/ˈasbu/,名词,旱季。,原生词根。
208,asbuvento,/as.buˈven.tʰo/,名词,旱季将尽、第一场雨将至的那种焦灼的期盼。,asbu（旱季）+ vento（将至）。
209,ase,/ˈasə/,名词,神殿。,原生词根。
210,ases,/ˈasəs/,名词,盟友。,原生词根。
211,aset,/ˈasətʰ/,名词,资产。,源自英语「asset」。
212,aseto,/aˈsetʰo/,名词,香醋。,源自意大利语「aceto」。
213,asetum,/aˈsetʰum/,名词,醋。,源自拉丁语「acetum」。
214,ashoram,/aˈʃoʁam/,名词,禅房。,源自梵语「आश्रम」(ashram)。
215,asieto,/asiˈetʰo/,名词,盘子。,源自法语「assiette」。
216,ásku,/ˈaːskʰu/,动词,绷紧。,原生词根。
217,asma,/ˈasma/,名词,葡萄藤。,借词「asma」。
218,asolo,/aˈsolo/,名词,独奏。,源自意大利语「assolo」。
219,aspektus,/aˈspek.tʰus/,名词,目光，神情。,源自拉丁语「aspectus」
220,æstas,/ˈæstʰas/,名词,夏日。,源自拉丁语「aestas」。
221,asteni,/aˈstʰeni/,形容词,虚弱的。,源自希腊语「ἀσθενής」(asthenes)。
222,astoronomia,/astʰoʁonoˈmia/,名词,天文。,源自拉丁语「astronomia」。
223,astoronomos,/astʰoʁoˈnomos/,名词,天文学家。,源自希腊语「ἀστρονόμος」(astronomos)。
224,astra,/ˈastʰ.ra/,名词,星辰（诗歌用）。,"拉丁语 ""astrum""。"
225,asul,/ˈasul/,名词,凿子。,原生词根。
226,asuranso,/asuˈʁanso/,名词,保险。,源自法语「assurance」。
227,asva,/ˈasva/,名词,智者。,原生词根。
228,áta,/ˈaː.tʰa/,数词,八。,日耳曼词源。
229,ætas,/ˈætʰas/,名词,历史时期。,源自拉丁语「aetas」。
230,atend,/a.ˈtʰend/,动词,等待。,源自拉丁语「attendere」。
231,atendu,/aˈtʰen.du/,动词,等待。,"世界语 ""atendi""。"
232,atendubela,/atʰənduˈbela/,形容词,可等待的。,「atendu」+ 后缀 -bela（可被……的）。
233,atenduitá,/atʰənduˈitʰaː/,形容词,被等待的。,「atendu」+ 后缀 -itá（结果状态）。
234,atenta,/aˈtʰentʰa/,形容词,细心的。,源自拉丁语「attentus」。
235,atentli,/aˈtʰentʰli/,副词,注意地，仔细地。,「atenta」（细心的，词典词）+ -li（副词化）
236,atento,/aˈtʰentʰo/,名词,关注。,源自拉丁语「attentio」。
237,atletes,/aˈtʰletʰəs/,名词,运动员。,源自希腊语「ἀθλητής」(athletes)。
238,atlon,/ˈatʰlon/,名词,奖赏。,源自希腊语「ἆθλον」(athlon)。
239,atmosfera,/atʰmoˈsfeʁa/,名词,氛围，气氛。,源自希腊语「ἀτμός」(atmos)+「sphaera」。
240,atomos,/aˈtʰomos/,名词,原子。,源自希腊语「ἄτομος」(atomos)。
241,atrø,/ˈatʰrø/,动词,推脱。,原生词根。
242,atse,/ˈatʰsə/,名词,皮靴。,原生词根。
243,aud,/aud/,动词,听见。,借世界语 aŭdi。
244,audit,/aˈuditʰ/,名词,审计。,源自英语「audit」。
245,auĝer,/aˈud͡ʒəɹ/,动词,增加。,源自拉丁语「augere」。
246,auĝerabela,/aud͡ʒəʁaˈbela/,形容词,可增加的。,「auĝer」+ 后缀 -bela（可被……的）。
247,auĝeritá,/aud͡ʒəˈʁitʰaː/,形容词,被增加的。,「auĝer」+ 后缀 -itá（结果状态）。
248,aulos,/aˈulos/,名词,双管笛。,源自希腊语「αὐλός」(aulos)。
249,aureumsækulum,/auʁəumsæˈkʰulum/,名词,黄金时代。,源自拉丁语「aureum saeculum」。
250,auris,/ˈau.ʁis/,名词,耳朵（诗体/古体用）。,源自拉丁语「auris」
251,auróra,/auˈʁoː.ʁa/,名词,黎明。,"拉丁语 ""auróra""。"
252,ausiktosturmo,/ausikʰtʰoˈstʰuɹmo/,名词,瞭望台。,源自德语「Aussichtsturm」。
253,auto,/ˈau.tʰo/,名词,汽车。,源自拉丁语「automobilis」。
254,autumn,/ˈau.tʰum/,名词,秋季。,"英语 ""autumn""。"
255,autumnus,/auˈtʰumnus/,名词,秋日。,源自拉丁语「autumnus」。
256,avanc,/ˈa.vaŋk/,动词,前进，划过。,"法语 ""avancer""，词尾清化。"
257,avancabela,/avankaˈbela/,形容词,可前进的。,「avanc」+ 后缀 -bela（可被……的）。
258,avancitá,/avaˈnkitʰaː/,形容词,被前进的。,「avanc」+ 后缀 -itá（结果状态）。
259,avantur,/a.vanˈtʰuɹ/,名词,冒险。,"法语 ""aventure""。"
260,avari,/aˈvaʁi/,形容词,吝啬的。,源自拉丁语「avarus」。
261,avenu,/aˈvenu/,名词,林荫道。,源自法语「avenue」。
262,aviz,/ˈaviz/,名词,吊灯。,借词「avize」。
263,bæ,/ˈbæ/,名词,绑腿。,原生词根。
264,babilada,/ba.biˈla.da/,名词,闲聊，闲谈。,源自法语「babiller」
265,badak,/ˈbadakʰ/,名词,犀牛。,源自马来语「badak」。
266,badem,/ˈbadəm/,名词,杏仁。,借词「badem」。
267,bakar,/ˈbakʰaɹ/,动词,烧烤。,源自马来语「bakar」。
268,bakerei,/bakʰəˈʁei/,名词,面包房。,源自德语「Bäckerei」。
269,bakí,/ˈbakʰiː/,名词,猫。,源自斯拉夫语「kot」。
270,bakirci,/baˈkʰiɹki/,名词,铜匠。,借词「bakirci」。
271,baklava,/baˈkʰlava/,名词,蜂蜜酥。,借词「baklava」。
272,bakteria,/bakʰtʰəˈʁia/,名词,细菌。,源自英语「bacteria」。
273,balbutar,/balˈbu.tʰaɹ/,动词,结巴，支吾。,源自拉丁语「balbutire」
274,balda,/ˈbal.da/,形容词,勇敢的。,原生词根。
275,balden,/ˈbaldən/,动词,变成勇敢。,「balda」+ 后缀 -en（变成）。
276,baldji,/ˈbald͡ʒi/,动词,使勇敢。,「balda」+ 后缀 -ji（使动）。
277,baldli,/ˈbaldli/,副词,勇敢地。,「balda」+ 后缀 -li（副词化）。
278,baleto,/baˈletʰo/,名词,芭蕾。,源自意大利语「balletto」。
279,bǽlge,/ˈbæːlɡə/,名词,水囊。,原生词根。
280,balikci,/baˈlikʰi/,名词,渔民。,借词「balikci」。
281,balkon,/ˈbalkʰon/,名词,阳台。,源自法语「balcon」。
282,bambu,/ˈbam.bu/,名词,竹。,"马来语 ""bambu""。"
283,bandido,/baˈndido/,名词,强盗。,源自西班牙语「bandido」。
284,banhokhunko,/banhoˈkʰhuŋkʰo/,名词,粽子。,源自越南语「banh chung」。
285,banie,/ˈba.niə/,名词,楼房（≥四层）。,"波兰语 ""budynek"" 简化。"
286,baniĝ,/ba.ˈnid͡ʒ/,动词,洗澡。,借世界语 baniĝi。
287,banku,/ˈbaŋkʰu/,名词,银行。,源自法语「banque」。
288,baptisma,/baˈptʰisma/,名词,洗礼。,源自拉丁语「baptisma」。
289,bar,/ˈbaɹ/,名词,酒吧。,源自法语「bar」。
290,bari,/ˈbaʁi/,形容词,沉重的。,源自希腊语「βαρύς」(barys)。
291,baritono,/baʁiˈtʰono/,名词,男中音。,源自意大利语「baritono」。
292,barko,/ˈbaɹkʰo/,名词,蜂箱。,源自波兰语「barć」。
293,barna,/ˈbaɹ.na/,名词,孩子，幼崽（与 infan 同义，语体更亲昵）。,原生词根。
294,barometer,/baʁoˈmetʰəɹ/,名词,气压计。,源自英语「barometer」。
295,barsozkozo,/baɹsoˈzkʰozo/,名词,甜菜汤。,源自波兰语「barszcz」。
296,basilika,/basiˈlikʰa/,名词,圣殿。,源自拉丁语「basilica」。
297,basiliko,/basiˈlikʰo/,名词,罗勒。,源自意大利语「basilico」。
298,basket,/ˈbaskʰətʰ/,名词,篮。,源自日耳曼语「basket」。
299,baso,/ˈbaso/,名词,低音。,源自意大利语「basso」。
300,baston,/ˈbas.tʰon/,名词,棍，棒。,源自法语「bâton」
301,batafre,/baˈtʰafrə/,名词,鼠。,源自日耳曼语「mouse」。
302,batal,/ˈba.tʰal/,动词,战斗。,与 batala 同根，动词词干。
303,batala,/baˈtʰa.la/,动词,战斗。,"拉丁语 ""battuere""。"
304,batalabela,/batʰalaˈbela/,形容词,可战斗的。,「batala」+ 后缀 -bela（可被……的）。
305,batalaitá,/batʰalaˈitʰaː/,形容词,被战斗的。,「batala」+ 后缀 -itá（结果状态）。
306,bateri,/baˈtʰeʁi/,名词,电池。,源自英语「battery」。
307,bati,/ˈbatʰi/,形容词,深邃的，深沉的。,源自希腊语「βαθύς」(bathys/bathus)。
308,batik,/ˈbatʰikʰ/,名词,蜡染。,源自马来语「batik」。
309,batistero,/batʰiˈstʰeʁo/,名词,洗礼堂。,源自意大利语「battistero」。
310,baza,/ˈbaza/,形容词,基础的。,源自拉丁语「basis」。
311,bazaskola,/bazaˈskʰola/,名词,初中。,「baza」+「skola」。
312,be,/ˈbe/,名词,蜂。,源自日耳曼语「bee」。
313,beak,/ˈbeakʰ/,动词,浸泡。,原生词根。
314,bear,/ˈbeaɹ/,名词,熊。,源自日耳曼语「bear」。
315,bearinko,/bəaˈʁiŋkʰo/,名词,轴承。,源自英语「bearing」。
316,bedaur,/ˈbe.dauɹ/,名词/动词,遗憾，惋惜。,第二版新增，原创词。
317,bedaurabela,/bədauʁaˈbela/,形容词,可遗憾的。,「bedaur」+ 后缀 -bela（可被……的）。
318,bedauritá,/bədauˈʁitʰaː/,形容词,被遗憾的。,「bedaur」+ 后缀 -itá（结果状态）。
319,bei,/ˈbei/,名词,贝伊。,借词「bey」。
320,beja,/ˈbe.d͡ʒa/,形容词,米色的。,源自法语「beige」
